,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
136,mentrinya lepas tanggung jawab nih kalo 1 sekolah corona yg di salahkan yg beri izin ,negatif,mentrinya lepas tanggung jawab nih kalo 1 sekolah corona yg di salahkan yg beri izin ,"['mentrinya', 'lepas', 'tanggung', 'jawab', 'nih', 'kalo', '1', 'sekolah', 'corona', 'yg', 'di', 'salahkan', 'yg', 'beri', 'izin', '']",mentrinya lepas tanggung nih kalo 1 sekolah corona yg salahkan yg izin ,tri lepas tanggung nih kalo 1 sekolah corona yg salah yg izin
137,ngeri ni jangan masuk dulu dong,negatif,ngeri ni jangan masuk dulu dong,"['ngeri', 'ni', 'jangan', 'masuk', 'dulu', 'dong']",ngeri ni masuk,ngeri ni masuk
138,pembelajaran tatap muka di perbolehkan bukan di wajibkan nyimak,positif,pembelajaran tatap muka di perbolehkan bukan di wajibkan nyimak,"['pembelajaran', 'tatap', 'muka', 'di', 'perbolehkan', 'bukan', 'di', 'wajibkan', 'nyimak']",pembelajaran tatap muka perbolehkan wajibkan nyimak,ajar tatap muka boleh wajib nyimak
139,yang lalu semua protes mall buka restourant buka pasar aktivitas lainnya dibuka kecuali sekolahan sekarang ada wacana mau dibuka sekolah ada juga yg protes ga setuju hmm ,positif,yang lalu semua protes mall buka restourant buka pasar aktivitas lainnya dibuka kecuali sekolahan sekarang ada wacana mau dibuka sekolah ada juga yg protes ga setuju hmm ,"['yang', 'lalu', 'semua', 'protes', 'mall', 'buka', 'restourant', 'buka', 'pasar', 'aktivitas', 'lainnya', 'dibuka', 'kecuali', 'sekolahan', 'sekarang', 'ada', 'wacana', 'mau', 'dibuka', 'sekolah', 'ada', 'juga', 'yg', 'protes', 'ga', 'setuju', 'hmm', '']",protes mall buka restourant buka pasar aktivitas dibuka kecuali sekolahan wacana dibuka sekolah yg protes ga setuju hmm ,protes mall buka restourant buka pasar aktivitas buka kecuali sekolah wacana buka sekolah yg protes ga tuju hmm
140,kalo untuk universitas bagaimana ya karena para mahasiswa tidak hanya dari satu pulau saja tapi dari berbagai pulau di indonesia,negatif,kalo untuk universitas bagaimana ya karena para mahasiswa tidak hanya dari satu pulau saja tapi dari berbagai pulau di indonesia,"['kalo', 'untuk', 'universitas', 'bagaimana', 'ya', 'karena', 'para', 'mahasiswa', 'tidak', 'hanya', 'dari', 'satu', 'pulau', 'saja', 'tapi', 'dari', 'berbagai', 'pulau', 'di', 'indonesia']",kalo universitas ya mahasiswa pulau pulau indonesia,kalo universitas ya mahasiswa pulau pulau indonesia
141,tapii masalahnya nnt kl ada yg habis sklh keluyuran ggimana tuh,negatif,tapii masalahnya nnt kl ada yg habis sklh keluyuran ggimana tuh,"['tapii', 'masalahnya', 'nnt', 'kl', 'ada', 'yg', 'habis', 'sklh', 'keluyuran', 'ggimana', 'tuh']",tapii nnt kl yg habis sklh keluyuran ggimana tuh,tapi nnt kl yg habis sklh keluyur ggimana tuh
142,capek libur mulu,positif,capek libur mulu,"['capek', 'libur', 'mulu']",capek libur mulu,capek libur mulu
143,sekolah kalau belum tatap muka tutup aja dulu jangan melalui hp gak masuk ke otak percuma spp tetap bayar pemerintah sekarang bikin pusing aja ,positif,sekolah kalau belum tatap muka tutup aja dulu jangan melalui hp gak masuk ke otak percuma spp tetap bayar pemerintah sekarang bikin pusing aja ,"['sekolah', 'kalau', 'belum', 'tatap', 'muka', 'tutup', 'aja', 'dulu', 'jangan', 'melalui', 'hp', 'gak', 'masuk', 'ke', 'otak', 'percuma', 'spp', 'tetap', 'bayar', 'pemerintah', 'sekarang', 'bikin', 'pusing', 'aja', '']",sekolah tatap muka tutup aja hp gak masuk otak spp bayar pemerintah bikin pusing aja ,sekolah tatap muka tutup aja hp gak masuk otak spp bayar perintah bikin pusing aja
144,bukan karena ke egoisan tapi memang kuliah online sangat sangat tidak bagus disamping itu kesehatan mata juga terganggu tugas banyak natap layar monitor terus dan manusia itu ga semestinya semua orang sehat pasti ada yg sakit mau sakit covid demam kalaupun ada yg covid 1 orang mau sampai kapanpun sekolah tatap muka tetep tutup kalo terus terusan gini mau bagaimana ,positif,bukan karena ke egoisan tapi memang kuliah online sangat sangat tidak bagus disamping itu kesehatan mata juga terganggu tugas banyak natap layar monitor terus dan manusia itu ga semestinya semua orang sehat pasti ada yg sakit mau sakit covid demam kalaupun ada yg covid 1 orang mau sampai kapanpun sekolah tatap muka tetep tutup kalo terus terusan gini mau bagaimana ,"['bukan', 'karena', 'ke', 'egoisan', 'tapi', 'memang', 'kuliah', 'online', 'sangat', 'sangat', 'tidak', 'bagus', 'disamping', 'itu', 'kesehatan', 'mata', 'juga', 'terganggu', 'tugas', 'banyak', 'natap', 'layar', 'monitor', 'terus', 'dan', 'manusia', 'itu', 'ga', 'semestinya', 'semua', 'orang', 'sehat', 'pasti', 'ada', 'yg', 'sakit', 'mau', 'sakit', 'covid', 'demam', 'kalaupun', 'ada', 'yg', 'covid', '1', 'orang', 'mau', 'sampai', 'kapanpun', 'sekolah', 'tatap', 'muka', 'tetep', 'tutup', 'kalo', 'terus', 'terusan', 'gini', 'mau', 'bagaimana', '']",egoisan kuliah online bagus disamping kesehatan mata terganggu tugas natap layar monitor manusia ga semestinya orang sehat yg sakit sakit covid demam yg covid 1 orang sekolah tatap muka tetep tutup kalo terusan gini ,egois kuliah online bagus samping sehat mata ganggu tugas natap layar monitor manusia ga mesti orang sehat yg sakit sakit covid demam yg covid 1 orang sekolah tatap muka tetep tutup kalo terus gin
145,ngak usah masuk sekolah dulu biar aja dilewati satu tahun naik kelas ,negatif,ngak usah masuk sekolah dulu biar aja dilewati satu tahun naik kelas ,"['ngak', 'usah', 'masuk', 'sekolah', 'dulu', 'biar', 'aja', 'dilewati', 'satu', 'tahun', 'naik', 'kelas', '']",ngak masuk sekolah biar aja dilewati kelas ,ngak masuk sekolah biar aja lewat kelas
146,lebih baik segera dibuka saja pak sekolah online atau kuliah online tetapi lebih banyak bodohnya lebih baik sekolah atau kuliah offline biasa namun dengan protokol kesehatan yang ketat jujur saja seperti saya ketika kuliah online seperti ini semua materi kuliah kurang masuk ke otak belum lagi tugas kelompok bukannya mempermudah malah tambah susah ,positif,lebih baik segera dibuka saja pak sekolah online atau kuliah online tetapi lebih banyak bodohnya lebih baik sekolah atau kuliah offline biasa namun dengan protokol kesehatan yang ketat jujur saja seperti saya ketika kuliah online seperti ini semua materi kuliah kurang masuk ke otak belum lagi tugas kelompok bukannya mempermudah malah tambah susah ,"['lebih', 'baik', 'segera', 'dibuka', 'saja', 'pak', 'sekolah', 'online', 'atau', 'kuliah', 'online', 'tetapi', 'lebih', 'banyak', 'bodohnya', 'lebih', 'baik', 'sekolah', 'atau', 'kuliah', 'offline', 'biasa', 'namun', 'dengan', 'protokol', 'kesehatan', 'yang', 'ketat', 'jujur', 'saja', 'seperti', 'saya', 'ketika', 'kuliah', 'online', 'seperti', 'ini', 'semua', 'materi', 'kuliah', 'kurang', 'masuk', 'ke', 'otak', 'belum', 'lagi', 'tugas', 'kelompok', 'bukannya', 'mempermudah', 'malah', 'tambah', 'susah', '']",dibuka sekolah online kuliah online bodohnya sekolah kuliah offline protokol kesehatan ketat jujur kuliah online materi kuliah masuk otak tugas kelompok mempermudah susah ,buka sekolah online kuliah online bodoh sekolah kuliah offline protokol sehat ketat jujur kuliah online materi kuliah masuk otak tugas kelompok mudah susah
147,ye masuk sekolah,positif,ye masuk sekolah,"['ye', 'masuk', 'sekolah']",ye masuk sekolah,ye masuk sekolah
148,menulis seperti suatu yang aneh ketika anak anak lebih pandai mengetul efek kelamaan daring,positif,menulis seperti suatu yang aneh ketika anak anak lebih pandai mengetul efek kelamaan daring,"['menulis', 'seperti', 'suatu', 'yang', 'aneh', 'ketika', 'anak', 'anak', 'lebih', 'pandai', 'mengetul', 'efek', 'kelamaan', 'daring']",menulis aneh anak anak pandai mengetul efek daring,tulis aneh anak anak pandai ketul efek daring
149,bagaimana jika ortunya mengizinkan tapi anaknya tidak sedangkan kebanyakan orang tua siswa sudah mulai tidak percaya sama corona dengan alasan menganggap pemalsuan data tujuan bisnis dll padahal berita yang didapat bukan dari berita resmi dan opininya masih diragukan saya harap sekolah bisa tahu mana siswa yang membutuhkan tatap muka dan mana yang mampu untuk belajar daring ,negatif,bagaimana jika ortunya mengizinkan tapi anaknya tidak sedangkan kebanyakan orang tua siswa sudah mulai tidak percaya sama corona dengan alasan menganggap pemalsuan data tujuan bisnis dll padahal berita yang didapat bukan dari berita resmi dan opininya masih diragukan saya harap sekolah bisa tahu mana siswa yang membutuhkan tatap muka dan mana yang mampu untuk belajar daring ,"['bagaimana', 'jika', 'ortunya', 'mengizinkan', 'tapi', 'anaknya', 'tidak', 'sedangkan', 'kebanyakan', 'orang', 'tua', 'siswa', 'sudah', 'mulai', 'tidak', 'percaya', 'sama', 'corona', 'dengan', 'alasan', 'menganggap', 'pemalsuan', 'data', 'tujuan', 'bisnis', 'dll', 'padahal', 'berita', 'yang', 'didapat', 'bukan', 'dari', 'berita', 'resmi', 'dan', 'opininya', 'masih', 'diragukan', 'saya', 'harap', 'sekolah', 'bisa', 'tahu', 'mana', 'siswa', 'yang', 'membutuhkan', 'tatap', 'muka', 'dan', 'mana', 'yang', 'mampu', 'untuk', 'belajar', 'daring', '']",ortunya mengizinkan anaknya kebanyakan orang tua siswa percaya corona alasan menganggap pemalsuan data tujuan bisnis dll berita berita resmi opininya diragukan harap sekolah siswa membutuhkan tatap muka belajar daring ,ortunya izin anak banyak orang tua siswa percaya corona alas anggap palsu data tuju bisnis dll berita berita resmi opini ragu harap sekolah siswa butuh tatap muka ajar daring
150,selamat buat kalian yang di daerah masih melaksanakan sekolah secara daring jangan putus asa dan tetap semangat ,positif,selamat buat kalian yang di daerah masih melaksanakan sekolah secara daring jangan putus asa dan tetap semangat ,"['selamat', 'buat', 'kalian', 'yang', 'di', 'daerah', 'masih', 'melaksanakan', 'sekolah', 'secara', 'daring', 'jangan', 'putus', 'asa', 'dan', 'tetap', 'semangat', '']",selamat daerah melaksanakan sekolah daring putus asa semangat ,selamat daerah laksana sekolah daring putus asa semangat
151,sekolah sekarang gurunya bidola gara2 covid licik bohong,negatif,sekolah sekarang gurunya bidola gara2 covid licik bohong,"['sekolah', 'sekarang', 'gurunya', 'bidola', 'gara2', 'covid', 'licik', 'bohong']",sekolah gurunya bidola gara2 covid licik bohong,sekolah guru bidola gara2 covid licik bohong
152,tolong pak mendikbud di sumatra utara sumut kususnya di tapsel masih ada penerimaan spp tolong di usut tuntas ,positif,tolong pak mendikbud di sumatra utara sumut kususnya di tapsel masih ada penerimaan spp tolong di usut tuntas ,"['tolong', 'pak', 'mendikbud', 'di', 'sumatra', 'utara', 'sumut', 'kususnya', 'di', 'tapsel', 'masih', 'ada', 'penerimaan', 'spp', 'tolong', 'di', 'usut', 'tuntas', '']",tolong mendikbud sumatra utara sumut kususnya tapsel penerimaan spp tolong usut tuntas ,tolong mendikbud sumatra utara sumut sus tapsel terima spp tolong usut tuntas
153,pemberian izin ini sangat positif asal jangan ada niatan utk mempermudah distribusi vaksin k siswa2 sekolah,positif,pemberian izin ini sangat positif asal jangan ada niatan utk mempermudah distribusi vaksin k siswa2 sekolah,"['pemberian', 'izin', 'ini', 'sangat', 'positif', 'asal', 'jangan', 'ada', 'niatan', 'utk', 'mempermudah', 'distribusi', 'vaksin', 'k', 'siswa2', 'sekolah']",pemberian izin positif niatan utk mempermudah distribusi vaksin k siswa2 sekolah,beri izin positif niat utk mudah distribusi vaksin k siswa2 sekolah
155,pak mentri pendidikan aku hanya pengen liat kamu ,positif,pak mentri pendidikan aku hanya pengen liat kamu ,"['pak', 'mentri', 'pendidikan', 'aku', 'hanya', 'pengen', 'liat', 'kamu', '']",mentri pendidikan pengen liat ,tri didik ken liat
156,intinya jika mau sekolah nih sesuai pertujuan orang tua dah itu aja karana jika kita kenapanapa siapa yang nguruskan siapa yang bayar bisa di sembuhkan kalau bisa pasti boleh tapi apakah bisa langsung sembuh saran tunggu sampai faksin ketemu terus test 2 bulan dan selesai jadi kalau masih ada covid itu ini udah mulai reda nanti kembali lah ngumpul ngobrol bareng ke tempat yang bisa saja ada kuman jika bilangnya suruh jaga jarak jangan sentuh itu banyak yang nakal bodo amat masih banyak lagi emng mau saya cuman mengasih saran,negatif,intinya jika mau sekolah nih sesuai pertujuan orang tua dah itu aja karana jika kita kenapanapa siapa yang nguruskan siapa yang bayar bisa di sembuhkan kalau bisa pasti boleh tapi apakah bisa langsung sembuh saran tunggu sampai faksin ketemu terus test 2 bulan dan selesai jadi kalau masih ada covid itu ini udah mulai reda nanti kembali lah ngumpul ngobrol bareng ke tempat yang bisa saja ada kuman jika bilangnya suruh jaga jarak jangan sentuh itu banyak yang nakal bodo amat masih banyak lagi emng mau saya cuman mengasih saran,"['intinya', 'jika', 'mau', 'sekolah', 'nih', 'sesuai', 'pertujuan', 'orang', 'tua', 'dah', 'itu', 'aja', 'karana', 'jika', 'kita', 'kenapanapa', 'siapa', 'yang', 'nguruskan', 'siapa', 'yang', 'bayar', 'bisa', 'di', 'sembuhkan', 'kalau', 'bisa', 'pasti', 'boleh', 'tapi', 'apakah', 'bisa', 'langsung', 'sembuh', 'saran', 'tunggu', 'sampai', 'faksin', 'ketemu', 'terus', 'test', '2', 'bulan', 'dan', 'selesai', 'jadi', 'kalau', 'masih', 'ada', 'covid', 'itu', 'ini', 'udah', 'mulai', 'reda', 'nanti', 'kembali', 'lah', 'ngumpul', 'ngobrol', 'bareng', 'ke', 'tempat', 'yang', 'bisa', 'saja', 'ada', 'kuman', 'jika', 'bilangnya', 'suruh', 'jaga', 'jarak', 'jangan', 'sentuh', 'itu', 'banyak', 'yang', 'nakal', 'bodo', 'amat', 'masih', 'banyak', 'lagi', 'emng', 'mau', 'saya', 'cuman', 'mengasih', 'saran']",intinya sekolah nih sesuai pertujuan orang tua dah aja karana kenapanapa nguruskan bayar sembuhkan langsung sembuh saran tunggu faksin ketemu test 2 selesai covid udah reda ngumpul ngobrol bareng kuman bilangnya suruh jaga jarak sentuh nakal bodo emng cuman mengasih saran,inti sekolah nih sesuai tuju orang tua dah aja karana kenapanapa nguruskan bayar sembuh langsung sembuh saran tunggu faksin ketemu test 2 selesai covid udah reda ngumpul ngobrol bareng kuman bilang suruh jaga jarak sentuh nakal bodo emng cuman asih saran
157,saya setuju sekolah tatap muka jika kita berlebihan takut ini lah itu lah di situlah kelemahan kita penyakit mudah datang ,positif,saya setuju sekolah tatap muka jika kita berlebihan takut ini lah itu lah di situlah kelemahan kita penyakit mudah datang ,"['saya', 'setuju', 'sekolah', 'tatap', 'muka', 'jika', 'kita', 'berlebihan', 'takut', 'ini', 'lah', 'itu', 'lah', 'di', 'situlah', 'kelemahan', 'kita', 'penyakit', 'mudah', 'datang', '']",setuju sekolah tatap muka takut situlah kelemahan penyakit mudah ,tuju sekolah tatap muka takut situ lemah sakit mudah
158,klo anak anak kena yang tangung jawab siapa ,negatif,klo anak anak kena yang tangung jawab siapa ,"['klo', 'anak', 'anak', 'kena', 'yang', 'tangung', 'jawab', 'siapa', '']",klo anak anak kena tangung ,klo anak anak kena tangung
159,sekolah pemalang buka pliss,positif,sekolah pemalang buka pliss,"['sekolah', 'pemalang', 'buka', 'pliss']",sekolah pemalang buka pliss,sekolah malang buka pliss
160,sekolah tatap muka atau kuliah tatap muka sebaik nya setelah vaksin covid sdh selesai di suntik kan ke masyarakat indonesia kalau ingin aman dan tdk meragukan kalau blm sebaik nya tdk usah krn sama saja bermain judi jika menyebar kembali virus corona nya siapa yg bertanggung jawab dan pasti nya sia sia sdh pemerintah menerapkan psbb ketat di semua propinsi ,negatif,sekolah tatap muka atau kuliah tatap muka sebaik nya setelah vaksin covid sdh selesai di suntik kan ke masyarakat indonesia kalau ingin aman dan tdk meragukan kalau blm sebaik nya tdk usah krn sama saja bermain judi jika menyebar kembali virus corona nya siapa yg bertanggung jawab dan pasti nya sia sia sdh pemerintah menerapkan psbb ketat di semua propinsi ,"['sekolah', 'tatap', 'muka', 'atau', 'kuliah', 'tatap', 'muka', 'sebaik', 'nya', 'setelah', 'vaksin', 'covid', 'sdh', 'selesai', 'di', 'suntik', 'kan', 'ke', 'masyarakat', 'indonesia', 'kalau', 'ingin', 'aman', 'dan', 'tdk', 'meragukan', 'kalau', 'blm', 'sebaik', 'nya', 'tdk', 'usah', 'krn', 'sama', 'saja', 'bermain', 'judi', 'jika', 'menyebar', 'kembali', 'virus', 'corona', 'nya', 'siapa', 'yg', 'bertanggung', 'jawab', 'dan', 'pasti', 'nya', 'sia', 'sia', 'sdh', 'pemerintah', 'menerapkan', 'psbb', 'ketat', 'di', 'semua', 'propinsi', '']",sekolah tatap muka kuliah tatap muka nya vaksin covid sdh selesai suntik masyarakat indonesia aman tdk meragukan blm nya tdk krn bermain judi menyebar virus corona nya yg bertanggung nya sia sia sdh pemerintah menerapkan psbb ketat propinsi ,sekolah tatap muka kuliah tatap muka nya vaksin covid sdh selesai suntik masyarakat indonesia aman tdk ragu blm nya tdk krn main judi sebar virus corona nya yg tanggung nya sia sia sdh perintah terap psbb ketat propinsi
161,gak apa apa kena korona yg penting bisa belajar tatap muka berani gwe kena korona asal ka n tatap muka,positif,gak apa apa kena korona yg penting bisa belajar tatap muka berani gwe kena korona asal ka n tatap muka,"['gak', 'apa', 'apa', 'kena', 'korona', 'yg', 'penting', 'bisa', 'belajar', 'tatap', 'muka', 'berani', 'gwe', 'kena', 'korona', 'asal', 'ka', 'n', 'tatap', 'muka']",gak kena korona yg belajar tatap muka berani gwe kena korona ka n tatap muka,gak kena korona yg ajar tatap muka berani gwe kena korona ka n tatap muka
162,tanggung jawab ya pak kalo anak anak terkena covid v,negatif,tanggung jawab ya pak kalo anak anak terkena covid v,"['tanggung', 'jawab', 'ya', 'pak', 'kalo', 'anak', 'anak', 'terkena', 'covid', 'v']",tanggung ya kalo anak anak terkena covid v,tanggung ya kalo anak anak kena covid v
163,bapak pengen sekolah tatap mukaaa g enak g kuat di rmh mulu,positif,bapak pengen sekolah tatap mukaaa g enak g kuat di rmh mulu,"['bapak', 'pengen', 'sekolah', 'tatap', 'mukaaa', 'g', 'enak', 'g', 'kuat', 'di', 'rmh', 'mulu']",pengen sekolah tatap mukaaa g enak g kuat rmh mulu,ken sekolah tatap mukaaa g enak g kuat rmh mulu
164,saya mah mending masih daring selama covid masih blm teratasi lebih penting nyawa anak saya donk 9bln kita udah hidup isolasi mandiri buktinya masih tinggi penularannya apalagi kalau sekolah dibuka hadeuh,negatif,saya mah mending masih daring selama covid masih blm teratasi lebih penting nyawa anak saya donk 9bln kita udah hidup isolasi mandiri buktinya masih tinggi penularannya apalagi kalau sekolah dibuka hadeuh,"['saya', 'mah', 'mending', 'masih', 'daring', 'selama', 'covid', 'masih', 'blm', 'teratasi', 'lebih', 'penting', 'nyawa', 'anak', 'saya', 'donk', '9bln', 'kita', 'udah', 'hidup', 'isolasi', 'mandiri', 'buktinya', 'masih', 'tinggi', 'penularannya', 'apalagi', 'kalau', 'sekolah', 'dibuka', 'hadeuh']",mah mending daring covid blm teratasi nyawa anak donk 9bln udah hidup isolasi mandiri buktinya penularannya sekolah dibuka hadeuh,mah mending daring covid blm atas nyawa anak donk 9bln udah hidup isolasi mandiri bukti tular sekolah buka hadeuh
165,ya kalo gua biarin sekolah 2021 bodoamat gua gak bakal masuk serah lu pada terima gak terima,negatif,ya kalo gua biarin sekolah 2021 bodoamat gua gak bakal masuk serah lu pada terima gak terima,"['ya', 'kalo', 'gua', 'biarin', 'sekolah', '2021', 'bodoamat', 'gua', 'gak', 'bakal', 'masuk', 'serah', 'lu', 'pada', 'terima', 'gak', 'terima']",ya kalo gua biarin sekolah 2021 bodoamat gua gak masuk serah lu terima gak terima,ya kalo gua biarin sekolah 2021 bodoamat gua gak masuk serah lu terima gak terima
166,tanggung banget pertengahan,negatif,tanggung banget pertengahan,"['tanggung', 'banget', 'pertengahan']",tanggung banget pertengahan,tanggung banget tengah
167,asrama haji sleman hari ini sudah penuh semoga tidak memperparah keadaan,negatif,asrama haji sleman hari ini sudah penuh semoga tidak memperparah keadaan,"['asrama', 'haji', 'sleman', 'hari', 'ini', 'sudah', 'penuh', 'semoga', 'tidak', 'memperparah', 'keadaan']",asrama haji sleman penuh semoga memperparah,asrama haji sleman penuh moga parah
168,anjirr sekolah dikomplek gw aja baru ada 2 orang udah kena covid yakinn ,negatif,anjirr sekolah dikomplek gw aja baru ada 2 orang udah kena covid yakinn ,"['anjirr', 'sekolah', 'dikomplek', 'gw', 'aja', 'baru', 'ada', '2', 'orang', 'udah', 'kena', 'covid', 'yakinn', '']",anjirr sekolah dikomplek gw aja 2 orang udah kena covid yakinn ,anjirr sekolah dikomplek gw aja 2 orang udah kena covid yakinn
169,hanya berlaku zona aman kah ,positif,hanya berlaku zona aman kah ,"['hanya', 'berlaku', 'zona', 'aman', 'kah', '']",berlaku zona aman kah ,laku zona aman kah
170,capek ngurus sekolah mending ngurus akhirat,positif,capek ngurus sekolah mending ngurus akhirat,"['capek', 'ngurus', 'sekolah', 'mending', 'ngurus', 'akhirat']",capek ngurus sekolah mending ngurus akhirat,capek ngurus sekolah mending ngurus akhirat
171,2022 aja sekolahnya,negatif,2022 aja sekolahnya,"['2022', 'aja', 'sekolahnya']",2022 aja sekolahnya,2022 aja sekolah
172,saya pelajar dan saya juga masih belum yakin jika sekolah dibuka karna resikonya sangat besar jika sekolah dibuka sebaiknya sekolah tatap muka ditiadakan terlebih dahulu dan saya juga sudah nyaman sekolah dirumah ,negatif,saya pelajar dan saya juga masih belum yakin jika sekolah dibuka karna resikonya sangat besar jika sekolah dibuka sebaiknya sekolah tatap muka ditiadakan terlebih dahulu dan saya juga sudah nyaman sekolah dirumah ,"['saya', 'pelajar', 'dan', 'saya', 'juga', 'masih', 'belum', 'yakin', 'jika', 'sekolah', 'dibuka', 'karna', 'resikonya', 'sangat', 'besar', 'jika', 'sekolah', 'dibuka', 'sebaiknya', 'sekolah', 'tatap', 'muka', 'ditiadakan', 'terlebih', 'dahulu', 'dan', 'saya', 'juga', 'sudah', 'nyaman', 'sekolah', 'dirumah', '']",pelajar sekolah dibuka karna resikonya sekolah dibuka sekolah tatap muka ditiadakan nyaman sekolah dirumah ,ajar sekolah buka karna resiko sekolah buka sekolah tatap muka tiada nyaman sekolah rumah
173,masih kurang yakin kirim anak saya ke sekolah ditengah wabah yang masih belum terkendali,negatif,masih kurang yakin kirim anak saya ke sekolah ditengah wabah yang masih belum terkendali,"['masih', 'kurang', 'yakin', 'kirim', 'anak', 'saya', 'ke', 'sekolah', 'ditengah', 'wabah', 'yang', 'masih', 'belum', 'terkendali']",kirim anak sekolah ditengah wabah terkendali,kirim anak sekolah tengah wabah kendali
174,covid 19 d petamburan jd tkut skolah tatap muka tlng d pikirkan lg krna anak sd blum bs d jamin ktelitiannya dgn protokol klu blim tuntas covid 19 tunda dulu,negatif,covid 19 d petamburan jd tkut skolah tatap muka tlng d pikirkan lg krna anak sd blum bs d jamin ktelitiannya dgn protokol klu blim tuntas covid 19 tunda dulu,"['covid', '19', 'd', 'petamburan', 'jd', 'tkut', 'skolah', 'tatap', 'muka', 'tlng', 'd', 'pikirkan', 'lg', 'krna', 'anak', 'sd', 'blum', 'bs', 'd', 'jamin', 'ktelitiannya', 'dgn', 'protokol', 'klu', 'blim', 'tuntas', 'covid', '19', 'tunda', 'dulu']",covid 19 d petamburan jd tkut skolah tatap muka tlng d pikirkan lg krna anak sd blum bs d jamin ktelitiannya dgn protokol klu blim tuntas covid 19 tunda,covid 19 d tambur jd tkut skolah tatap muka tlng d pikir lg krna anak sd blum bs d jamin ktelitiannya dgn protokol klu blim tuntas covid 19 tunda
175,ngeri ngeri sedap kalo sampai sakit apalagi demam anak anak pas di swab ternyata positif nah tinggal salah salahan deh tuh nular dr mana apakah dr murid apa dr guru dll ,negatif,ngeri ngeri sedap kalo sampai sakit apalagi demam anak anak pas di swab ternyata positif nah tinggal salah salahan deh tuh nular dr mana apakah dr murid apa dr guru dll ,"['ngeri', 'ngeri', 'sedap', 'kalo', 'sampai', 'sakit', 'apalagi', 'demam', 'anak', 'anak', 'pas', 'di', 'swab', 'ternyata', 'positif', 'nah', 'tinggal', 'salah', 'salahan', 'deh', 'tuh', 'nular', 'dr', 'mana', 'apakah', 'dr', 'murid', 'apa', 'dr', 'guru', 'dll', '']",ngeri ngeri sedap kalo sakit demam anak anak pas swab positif tinggal salah salahan deh tuh nular dr dr murid dr guru dll ,ngeri ngeri sedap kalo sakit demam anak anak pas swab positif tinggal salah salah deh tuh nular dr dr murid dr guru dll
176,haha gw setuju aja sih sekolah lagi tapi masih aja ada org tua yg parno khusnuzon aja ,positif,haha gw setuju aja sih sekolah lagi tapi masih aja ada org tua yg parno khusnuzon aja ,"['haha', 'gw', 'setuju', 'aja', 'sih', 'sekolah', 'lagi', 'tapi', 'masih', 'aja', 'ada', 'org', 'tua', 'yg', 'parno', 'khusnuzon', 'aja', '']",haha gw setuju aja sih sekolah aja org tua yg parno khusnuzon aja ,haha gw tuju aja sih sekolah aja org tua yg parno khusnuzon aja
177,membingungkan aturan pemerintahnya jangan di gantung2 dong pak bilang j covid dah normal jd bebas,positif,membingungkan aturan pemerintahnya jangan di gantung2 dong pak bilang j covid dah normal jd bebas,"['membingungkan', 'aturan', 'pemerintahnya', 'jangan', 'di', 'gantung2', 'dong', 'pak', 'bilang', 'j', 'covid', 'dah', 'normal', 'jd', 'bebas']",membingungkan aturan pemerintahnya gantung2 bilang j covid dah normal jd bebas,bingung atur perintah gantung2 bilang j covid dah normal jd bebas
178,setuju kalau anak saya mah masuk sekolah kalau yang lain tergantung orang tuanya,positif,setuju kalau anak saya mah masuk sekolah kalau yang lain tergantung orang tuanya,"['setuju', 'kalau', 'anak', 'saya', 'mah', 'masuk', 'sekolah', 'kalau', 'yang', 'lain', 'tergantung', 'orang', 'tuanya']",setuju anak mah masuk sekolah tergantung orang tuanya,tuju anak mah masuk sekolah gantung orang tua
179,yakin pak kalau siswa mau nurutin protokol kalo di kasih kesempatan gitu apa nggak ngelunjak ,negatif,yakin pak kalau siswa mau nurutin protokol kalo di kasih kesempatan gitu apa nggak ngelunjak ,"['yakin', 'pak', 'kalau', 'siswa', 'mau', 'nurutin', 'protokol', 'kalo', 'di', 'kasih', 'kesempatan', 'gitu', 'apa', 'nggak', 'ngelunjak', '']",siswa nurutin protokol kalo kasih kesempatan gitu nggak ngelunjak ,siswa nurutin protokol kalo kasih sempat gitu nggak ngelunjak
180,memang maksud tujuannya mau membodohi generasi sekarang maklum pesanan bos besar ,positif,memang maksud tujuannya mau membodohi generasi sekarang maklum pesanan bos besar ,"['memang', 'maksud', 'tujuannya', 'mau', 'membodohi', 'generasi', 'sekarang', 'maklum', 'pesanan', 'bos', 'besar', '']",maksud tujuannya membodohi generasi maklum pesanan bos ,maksud tuju bodoh generasi maklum pesan bos
182,yah nanggung bgt tunggu ampe lulus kek biar enak mana duit mulu kelulusan nanti kesian ortu doang,negatif,yah nanggung bgt tunggu ampe lulus kek biar enak mana duit mulu kelulusan nanti kesian ortu doang,"['yah', 'nanggung', 'bgt', 'tunggu', 'ampe', 'lulus', 'kek', 'biar', 'enak', 'mana', 'duit', 'mulu', 'kelulusan', 'nanti', 'kesian', 'ortu', 'doang']",yah nanggung bgt tunggu ampe lulus kek biar enak duit mulu kelulusan kesian ortu doang,yah nanggung bgt tunggu ampe lulus kek biar enak duit mulu kelulus kesi ortu doang
